indicator,category,plain_language_name,plain_language_definition,why_it_matters,better_direction,related_indicator_1,related_indicator_2,related_indicator_3,search_terms
Insufficient Sleep,Health behaviors,Not getting enough sleep,The share of adults who sleep less than seven hours per night on average.,"Too little sleep can affect mental health, physical health, focus, and safety.",Lower is better,Poor Mental Health Days,Poor Physical Health Days,Adult Obesity,"insufficient sleep, not enough sleep, poor sleep, sleep, sleeping less, less than seven hours, sleep deprivation, tired"
Food Insecurity,Health behaviors,Food insecurity,The share of people who do not always have reliable access to enough food.,Not having enough food can make it harder to eat well and can add stress for children and adults.,Lower is better,Children in Poverty,Median Household Income,Diabetes Prevalence,"food insecurity, food access, not enough food, hunger, food shortage, afford food, access to food, food insecure, reliable access to food"
Drug Overdose Deaths,Health behaviors,Drug overdose deaths,"The number of deaths from drug overdoses for every 100,000 people.",This measures the most severe harm from drug use and can show where substance use is taking a heavy toll.,Lower is better,Poor Mental Health Days,Mental Health Providers,Injury Deaths,"drug overdose deaths, overdose, overdose deaths, drug deaths, drug use deaths, opioid deaths, opioids, fatal overdose, substance use deaths"
Access to Exercise Opportunities,Health behaviors,Access to places for exercise,"The share of people who have reasonable access to places where they can be active, such as parks, trails, or gyms.",Having safe and nearby places to be active can make regular exercise easier.,Higher is better,Physical Inactivity,Adult Obesity,Diabetes Prevalence,"access to exercise opportunities, exercise access, places to exercise, parks, gyms, trails, recreation, recreation access, places to be active, fitness access"
Uninsured,Clinical care,People without health insurance,The share of people under age 65 who do not have health insurance.,"People without insurance may delay care, skip needed treatment, or face large medical bills.",Lower is better,Primary Care Physicians,Preventable Hospital Stays,Median Household Income,"uninsured, no health insurance, without health insurance, health insurance, insurance coverage, lack of insurance, people without insurance"
Primary Care Physicians,Clinical care,Access to primary care doctors,The number of residents for each primary care doctor.,"Better access to primary care can help people get checkups, manage health problems, and receive treatment earlier.",Lower is better,Uninsured,Preventable Hospital Stays,Diabetes Prevalence,"primary care physicians, primary care doctors, primary care, family doctors, doctors, doctor access, access to doctors, physician shortage, primary care access"
Mental Health Providers,Clinical care,Access to mental health providers,The number of residents for each mental health provider.,More access to mental health care can make it easier for people to get help when they need it.,Lower is better,Poor Mental Health Days,Suicide Rate,Drug Overdose Deaths,"mental health providers, mental health care, therapists, counselors, psychiatrists, mental health access, therapy access, behavioral health providers, access to mental health care"
Preventable Hospital Stays,Clinical care,Hospital stays that may be preventable,"The number of hospital stays for health problems that may often be avoided with timely, regular care, per 100,000 Medicare patients.",High rates can point to problems with access to routine care or with managing health problems before they become serious.,Lower is better,Primary Care Physicians,Uninsured,Diabetes Prevalence,"preventable hospital stays, avoidable hospital stays, hospital stays, preventable hospitalization, avoidable hospitalization, hospital admissions, routine care, preventable admissions"
Children in Poverty,Social & economic,Children living in poverty,The share of children under age 18 living below the federal poverty line.,"Growing up in poverty can limit access to stable housing, healthy food, health care, and other resources.",Lower is better,Median Household Income,Food Insecurity,Severe Housing Cost Burden,"children in poverty, child poverty, kids in poverty, poor children, childhood poverty, children below poverty line, low income children"
Unemployment,Social & economic,Unemployment,The share of people age 16 and older who do not have a job but are looking for work.,"Being out of work can reduce income, make health insurance harder to get, and increase stress.",Lower is better,Median Household Income,Children in Poverty,Food Insecurity,"unemployment, unemployed, without a job, jobless, people looking for work, lack of jobs, employment, job market"
Median Household Income,Social & economic,Median household income,The middle household income in the county: half of households earn more and half earn less.,"Income affects how easily families can afford housing, food, transportation, health care, and other needs.",Higher is better,Children in Poverty,Severe Housing Cost Burden,Food Insecurity,"median household income, household income, income, earnings, family income, average income, how much households earn, local income, wages"
High School Completion,Social & economic,High school completion,The share of adults age 25 and older who have a high school diploma or an equal level of education.,"Finishing high school can improve job options, income, and access to resources that support health.",Higher is better,Median Household Income,Unemployment,Children in Poverty,"high school completion, high school graduation, high school diploma, education, graduation, finished high school, educational attainment, school completion"
Income Inequality,Social & economic,Income gap,A comparison of income near the top of the local income range with income near the bottom. A higher number means a wider gap.,A wide income gap can show that money and resources are not shared evenly across a community.,Lower is better,Median Household Income,Children in Poverty,Severe Housing Cost Burden,"income inequality, income gap, wealth gap, rich and poor, income difference, income disparity, unequal income, gap between high and low income"
Severe Housing Problems,Physical environment,Severe housing problems,"The share of households with at least one major housing problem, such as crowding, very high housing costs, no full kitchen, or no plumbing.","Poor or unstable housing can affect safety, stress, health, and a family's ability to meet other needs.",Lower is better,Severe Housing Cost Burden,Median Household Income,Children in Poverty,"severe housing problems, housing problems, bad housing, crowded housing, overcrowding, housing quality, housing conditions, plumbing problems, kitchen problems, housing instability"
Air Pollution – Particulate Matter,Physical environment,Fine particle air pollution,"The average amount of very small particles in the air, called PM2.5, that can travel deep into the lungs.",Higher levels of fine particle pollution can worsen asthma and raise the risk of heart and lung problems.,Lower is better,Poor Physical Health Days,Life Expectancy,Poor or Fair Health,"air pollution, particulate matter, pm2.5, pm 2.5, fine particle pollution, dirty air, air quality, pollution, particles in the air"
Suicide Rate,Health outcomes / well-being,Suicide deaths,"The number of deaths by suicide for every 100,000 people.",This is a serious measure of mental health and shows the loss of life linked to suicide in a community.,Lower is better,Poor Mental Health Days,Mental Health Providers,Drug Overdose Deaths,"suicide rate, suicide, suicide deaths, death by suicide, self harm deaths, mental health deaths, fatal suicide"
Teen Birth Rate,Health behaviors,Teen birth rate,"The number of births for every 1,000 girls and young women ages 15 to 19.","Teen parents may face added health, school, work, and money needs, which can affect both parents and children.",Lower is better,Children in Poverty,High School Completion,Uninsured,"teen birth rate, teen births, teen pregnancy, teenage pregnancy, teen parents, teen mothers, births to teens, adolescent pregnancy"
Injury Deaths,Health outcomes / well-being,Deaths from injuries,"The number of deaths caused by injuries for every 100,000 people.","This captures deaths from causes such as crashes, falls, violence, and other injuries, many of which may be prevented.",Lower is better,Drug Overdose Deaths,Suicide Rate,Life Expectancy,"injury deaths, deaths from injuries, accidental deaths, injury mortality, fatal injuries, crash deaths, falls, violence deaths, unintentional injuries"
Broadband Access,Physical environment,Broadband internet access,The share of households with a broadband internet connection.,"Reliable internet can help people reach health care, school, jobs, public services, and other resources.",Higher is better,Median Household Income,High School Completion,Unemployment,"broadband access, internet access, broadband, home internet, high speed internet, high-speed internet, internet connection, digital access, internet availability"
Severe Housing Cost Burden,Physical environment,Households with very high housing costs,The share of households that spend at least half of their income on housing.,"When housing takes up this much income, families have less money left for food, health care, transportation, and other needs.",Lower is better,Severe Housing Problems,Median Household Income,Children in Poverty,"severe housing cost burden, housing cost burden, housing costs, rent burden, rent too high, housing too expensive, housing affordability, affordable housing, cost of housing, spending too much on housing"
