City,County,Indicator,Category,CHR&R release year,Underlying data year / period,Value,Unit,Better direction,Nashville rank out of 9,Peer city average (excluding Nashville),Nashville difference from peer average,Nashville percent difference from peer average,Nashville vs peer average,Best performing city,Best performing value,Worst performing city,Worst performing value
Dallas,"Dallas County, TX",Poor or Fair Health,Health outcomes / well-being,2010,2002-2008,20.89,%,Lower is better,5,15.75,0.19,1.21,Worse,Raleigh,12.49,Dallas,20.89
Nashville,"Davidson County, TN",Poor or Fair Health,Health outcomes / well-being,2010,2002-2008,15.94,%,Lower is better,5,15.75,0.19,1.21,Worse,Raleigh,12.49,Dallas,20.89
Austin,"Travis County, TX",Poor Physical Health Days,Health outcomes / well-being,2010,2002-2008,2.67,days per month,Lower is better,6,2.9325,0.0375,1.28,Worse,Raleigh,2.5,Denver,3.27
Raleigh,"Wake County, NC",Poor Physical Health Days,Health outcomes / well-being,2010,2002-2008,2.5,days per month,Lower is better,6,2.9325,0.0375,1.28,Worse,Raleigh,2.5,Denver,3.27
Durham,"Durham County, NC",Poor Physical Health Days,Health outcomes / well-being,2010,2002-2008,2.91,days per month,Lower is better,6,2.9325,0.0375,1.28,Worse,Raleigh,2.5,Denver,3.27
Charlotte,"Mecklenburg County, NC",Poor Physical Health Days,Health outcomes / well-being,2010,2002-2008,2.72,days per month,Lower is better,6,2.9325,0.0375,1.28,Worse,Raleigh,2.5,Denver,3.27
Denver,"Denver County, CO",Poor Physical Health Days,Health outcomes / well-being,2010,2002-2008,3.27,days per month,Lower is better,6,2.9325,0.0375,1.28,Worse,Raleigh,2.5,Denver,3.27
Atlanta,"Fulton County, GA",Poor Physical Health Days,Health outcomes / well-being,2010,2002-2008,2.93,days per month,Lower is better,6,2.9325,0.0375,1.28,Worse,Raleigh,2.5,Denver,3.27
Fort Worth,"Tarrant County, TX",Poor Physical Health Days,Health outcomes / well-being,2010,2002-2008,3.26,days per month,Lower is better,6,2.9325,0.0375,1.28,Worse,Raleigh,2.5,Denver,3.27
Dallas,"Dallas County, TX",Poor Physical Health Days,Health outcomes / well-being,2010,2002-2008,3.2,days per month,Lower is better,6,2.9325,0.0375,1.28,Worse,Raleigh,2.5,Denver,3.27
Nashville,"Davidson County, TN",Poor Physical Health Days,Health outcomes / well-being,2010,2002-2008,2.97,days per month,Lower is better,6,2.9325,0.0375,1.28,Worse,Raleigh,2.5,Denver,3.27
Austin,"Travis County, TX",Poor Mental Health Days,Health outcomes / well-being,2010,2002-2008,2.92,days per month,Lower is better,5,2.955,0.045,1.52,Worse,Raleigh,2.28,Denver,3.29
Raleigh,"Wake County, NC",Poor Mental Health Days,Health outcomes / well-being,2010,2002-2008,2.28,days per month,Lower is better,5,2.955,0.045,1.52,Worse,Raleigh,2.28,Denver,3.29
Durham,"Durham County, NC",Poor Mental Health Days,Health outcomes / well-being,2010,2002-2008,2.93,days per month,Lower is better,5,2.955,0.045,1.52,Worse,Raleigh,2.28,Denver,3.29
Charlotte,"Mecklenburg County, NC",Poor Mental Health Days,Health outcomes / well-being,2010,2002-2008,2.99,days per month,Lower is better,5,2.955,0.045,1.52,Worse,Raleigh,2.28,Denver,3.29
Denver,"Denver County, CO",Poor Mental Health Days,Health outcomes / well-being,2010,2002-2008,3.29,days per month,Lower is better,5,2.955,0.045,1.52,Worse,Raleigh,2.28,Denver,3.29
Atlanta,"Fulton County, GA",Poor Mental Health Days,Health outcomes / well-being,2010,2002-2008,3.07,days per month,Lower is better,5,2.955,0.045,1.52,Worse,Raleigh,2.28,Denver,3.29
Fort Worth,"Tarrant County, TX",Poor Mental Health Days,Health outcomes / well-being,2010,2002-2008,3.06,days per month,Lower is better,5,2.955,0.045,1.52,Worse,Raleigh,2.28,Denver,3.29
Dallas,"Dallas County, TX",Poor Mental Health Days,Health outcomes / well-being,2010,2002-2008,3.1,days per month,Lower is better,5,2.955,0.045,1.52,Worse,Raleigh,2.28,Denver,3.29
Nashville,"Davidson County, TN",Poor Mental Health Days,Health outcomes / well-being,2010,2002-2008,3,days per month,Lower is better,5,2.955,0.045,1.52,Worse,Raleigh,2.28,Denver,3.29
Austin,"Travis County, TX",Adult Obesity,Health outcomes / well-being,2010,2006-2008,21.7,%,Lower is better,9,24.15,5.95,24.64,Worse,Denver,16.3,Nashville,30.1
Raleigh,"Wake County, NC",Adult Obesity,Health outcomes / well-being,2010,2006-2008,27,%,Lower is better,9,24.15,5.95,24.64,Worse,Denver,16.3,Nashville,30.1
Durham,"Durham County, NC",Adult Obesity,Health outcomes / well-being,2010,2006-2008,27.6,%,Lower is better,9,24.15,5.95,24.64,Worse,Denver,16.3,Nashville,30.1
Charlotte,"Mecklenburg County, NC",Adult Obesity,Health outcomes / well-being,2010,2006-2008,24.2,%,Lower is better,9,24.15,5.95,24.64,Worse,Denver,16.3,Nashville,30.1
Denver,"Denver County, CO",Adult Obesity,Health outcomes / well-being,2010,2006-2008,16.3,%,Lower is better,9,24.15,5.95,24.64,Worse,Denver,16.3,Nashville,30.1
Atlanta,"Fulton County, GA",Adult Obesity,Health outcomes / well-being,2010,2006-2008,23.2,%,Lower is better,9,24.15,5.95,24.64,Worse,Denver,16.3,Nashville,30.1
Fort Worth,"Tarrant County, TX",Adult Obesity,Health outcomes / well-being,2010,2006-2008,26.1,%,Lower is better,9,24.15,5.95,24.64,Worse,Denver,16.3,Nashville,30.1
Dallas,"Dallas County, TX",Adult Obesity,Health outcomes / well-being,2010,2006-2008,27.1,%,Lower is better,9,24.15,5.95,24.64,Worse,Denver,16.3,Nashville,30.1
Nashville,"Davidson County, TN",Adult Obesity,Health outcomes / well-being,2010,2006-2008,30.1,%,Lower is better,9,24.15,5.95,24.64,Worse,Denver,16.3,Nashville,30.1
Austin,"Travis County, TX",Diabetes Prevalence,Health outcomes / well-being,2010,,,%,Lower is better,,,,,,,,,
Raleigh,"Wake County, NC",Diabetes Prevalence,Health outcomes / well-being,2010,,,%,Lower is better,,,,,,,,,
Durham,"Durham County, NC",Diabetes Prevalence,Health outcomes / well-being,2010,,,%,Lower is better,,,,,,,,,
Charlotte,"Mecklenburg County, NC",Diabetes Prevalence,Health outcomes / well-being,2010,,,%,Lower is better,,,,,,,,,
Denver,"Denver County, CO",Diabetes Prevalence,Health outcomes / well-being,2010,,,%,Lower is better,,,,,,,,,
Atlanta,"Fulton County, GA",Diabetes Prevalence,Health outcomes / well-being,2010,,,%,Lower is better,,,,,,,,,
Fort Worth,"Tarrant County, TX",Diabetes Prevalence,Health outcomes / well-being,2010,,,%,Lower is better,,,,,,,,,
Dallas,"Dallas County, TX",Diabetes Prevalence,Health outcomes / well-being,2010,,,%,Lower is better,,,,,,,,,
Nashville,"Davidson County, TN",Diabetes Prevalence,Health outcomes / well-being,2010,,,%,Lower is better,,,,,,,,,
Austin,"Travis County, TX",Adult Smoking,Health behaviors,2010,2002-2008,18.8,%,Lower is better,8,18.3675,2.3725,12.92,Worse,Raleigh,15.95,Denver,21.12
Raleigh,"Wake County, NC",Adult Smoking,Health behaviors,2010,2002-2008,15.95,%,Lower is better,8,18.3675,2.3725,12.92,Worse,Raleigh,15.95,Denver,21.12
Durham,"Durham County, NC",Adult Smoking,Health behaviors,2010,2002-2008,18.95,%,Lower is better,8,18.3675,2.3725,12.92,Worse,Raleigh,15.95,Denver,21.12
Charlotte,"Mecklenburg County, NC",Adult Smoking,Health behaviors,2010,2002-2008,17.39,%,Lower is better,8,18.3675,2.3725,12.92,Worse,Raleigh,15.95,Denver,21.12
Denver,"Denver County, CO",Adult Smoking,Health behaviors,2010,2002-2008,21.12,%,Lower is better,8,18.3675,2.3725,12.92,Worse,Raleigh,15.95,Denver,21.12
Atlanta,"Fulton County, GA",Adult Smoking,Health behaviors,2010,2002-2008,16.75,%,Lower is better,8,18.3675,2.3725,12.92,Worse,Raleigh,15.95,Denver,21.12
Fort Worth,"Tarrant County, TX",Adult Smoking,Health behaviors,2010,2002-2008,19.65,%,Lower is better,8,18.3675,2.3725,12.92,Worse,Raleigh,15.95,Denver,21.12
Dallas,"Dallas County, TX",Adult Smoking,Health behaviors,2010,2002-2008,18.33,%,Lower is better,8,18.3675,2.3725,12.92,Worse,Raleigh,15.95,Denver,21.12
Nashville,"Davidson County, TN",Adult Smoking,Health behaviors,2010,2002-2008,20.74,%,Lower is better,8,18.3675,2.3725,12.92,Worse,Raleigh,15.95,Denver,21.12
Austin,"Travis County, TX",Physical Inactivity,Health behaviors,2010,,,%,Lower is better,,,,,,,,,
Raleigh,"Wake County, NC",Physical Inactivity,Health behaviors,2010,,,%,Lower is better,,,,,,,,,
Durham,"Durham County, NC",Physical Inactivity,Health behaviors,2010,,,%,Lower is better,,,,,,,,,
Charlotte,"Mecklenburg County, NC",Physical Inactivity,Health behaviors,2010,,,%,Lower is better,,,,,,,,,
Denver,"Denver County, CO",Physical Inactivity,Health behaviors,2010,,,%,Lower is better,,,,,,,,,
Atlanta,"Fulton County, GA",Physical Inactivity,Health behaviors,2010,,,%,Lower is better,,,,,,,,,
Fort Worth,"Tarrant County, TX",Physical Inactivity,Health behaviors,2010,,,%,Lower is better,,,,,,,,,
Dallas,"Dallas County, TX",Physical Inactivity,Health behaviors,2010,,,%,Lower is better,,,,,,,,,
Nashville,"Davidson County, TN",Physical Inactivity,Health behaviors,2010,,,%,Lower is better,,,,,,,,,
Austin,"Travis County, TX",Excessive Drinking,Health behaviors,2010,2002-2008,20.54,%,Lower is better,1,15.905,-5.275,-33.17,Better,Nashville,10.63,Denver,21.06
Raleigh,"Wake County, NC",Excessive Drinking,Health behaviors,2010,2002-2008,12.8,%,Lower is better,1,15.905,-5.275,-33.17,Better,Nashville,10.63,Denver,21.06
Durham,"Durham County, NC",Excessive Drinking,Health behaviors,2010,2002-2008,12.0,%,Lower is better,1,15.905,-5.275,-33.17,Better,Nashville,10.63,Denver,21.06
Charlotte,"Mecklenburg County, NC",Excessive Drinking,Health behaviors,2010,2002-2008,14.76,%,Lower is better,1,15.905,-5.275,-33.17,Better,Nashville,10.63,Denver,21.06
Denver,"Denver County, CO",Excessive Drinking,Health behaviors,2010,2002-2008,21.06,%,Lower is better,1,15.905,-5.275,-33.17,Better,Nashville,10.63,Denver,21.06
Atlanta,"Fulton County, GA",Excessive Drinking,Health behaviors,2010,2002-2008,15.24,%,Lower is better,1,15.905,-5.275,-33.17,Better,Nashville,10.63,Denver,21.06
Fort Worth,"Tarrant County, TX",Excessive Drinking,Health behaviors,2010,2002-2008,15.13,%,Lower is better,1,15.905,-5.275,-33.17,Better,Nashville,10.63,Denver,21.06
Dallas,"Dallas County, TX",Excessive Drinking,Health behaviors,2010,2002-2008,15.71,%,Lower is better,1,15.905,-5.275,-33.17,Better,Nashville,10.63,Denver,21.06
Nashville,"Davidson County, TN",Excessive Drinking,Health behaviors,2010,2002-2008,10.63,%,Lower is better,1,15.905,-5.275,-33.17,Better,Nashville,10.63,Denver,21.06
Austin,"Travis County, TX",Insufficient Sleep,Health behaviors,2010,,,%,Lower is better,,,,,,,,,
Raleigh,"Wake County, NC",Insufficient Sleep,Health behaviors,2010,,,%,Lower is better,,,,,,,,,
Durham,"Durham County, NC",Insufficient Sleep,Health behaviors,2010,,,%,Lower is better,,,,,,,,,
Charlotte,"Mecklenburg County, NC",Insufficient Sleep,Health behaviors,2010,,,%,Lower is better,,,,,,,,,
Denver,"Denver County, CO",Insufficient Sleep,Health behaviors,2010,,,%,Lower is better,,,,,,,,,
Atlanta,"Fulton County, GA",Insufficient Sleep,Health behaviors,2010,,,%,Lower is better,,,,,,,,,
Fort Worth,"Tarrant County, TX",Insufficient Sleep,Health behaviors,2010,,,%,Lower is better,,,,,,,,,
Dallas,"Dallas County, TX",Insufficient Sleep,Health behaviors,2010,,,%,Lower is better,,,,,,,,,
Nashville,"Davidson County, TN",Insufficient Sleep,Health behaviors,2010,,,%,Lower is better,,,,,,,,,
Austin,"Travis County, TX",Food Insecurity,Health behaviors,2010,,,%,Lower is better,,,,,,,,,
Raleigh,"Wake County, NC",Food Insecurity,Health behaviors,2010,,,%,Lower is better,,,,,,,,,
Durham,"Durham County, NC",Food Insecurity,Health behaviors,2010,,,%,Lower is better,,,,,,,,,
Charlotte,"Mecklenburg County, NC",Food Insecurity,Health behaviors,2010,,,%,Lower is better,,,,,,,,,
Denver,"Denver County, CO",Food Insecurity,Health behaviors,2010,,,%,Lower is better,,,,,,,,,
Atlanta,"Fulton County, GA",Food Insecurity,Health behaviors,2010,,,%,Lower is better,,,,,,,,,
Fort Worth,"Tarrant County, TX",Food Insecurity,Health behaviors,2010,,,%,Lower is better,,,,,,,,,
Dallas,"Dallas County, TX",Food Insecurity,Health behaviors,2010,,,%,Lower is better,,,,,,,,,
Nashville,"Davidson County, TN",Food Insecurity,Health behaviors,2010,,,%,Lower is better,,,,,,,,,
Austin,"Travis County, TX",Drug Overdose Deaths,Health behaviors,2010,,,"deaths per 100,000 population",Lower is better,,,,,,,,,
Raleigh,"Wake County, NC",Drug Overdose Deaths,Health behaviors,2010,,,"deaths per 100,000 population",Lower is better,,,,,,,,,
Durham,"Durham County, NC",Drug Overdose Deaths,Health behaviors,2010,,,"deaths per 100,000 population",Lower is better,,,,,,,,,
Charlotte,"Mecklenburg County, NC",Drug Overdose Deaths,Health behaviors,2010,,,"deaths per 100,000 population",Lower is better,,,,,,,,,
Denver,"Denver County, CO",Drug Overdose Deaths,Health behaviors,2010,,,"deaths per 100,000 population",Lower is better,,,,,,,,,
Atlanta,"Fulton County, GA",Drug Overdose Deaths,Health behaviors,2010,,,"deaths per 100,000 population",Lower is better,,,,,,,,,
Fort Worth,"Tarrant County, TX",Drug Overdose Deaths,Health behaviors,2010,,,"deaths per 100,000 population",Lower is better,,,,,,,,,
Dallas,"Dallas County, TX",Drug Overdose Deaths,Health behaviors,2010,,,"deaths per 100,000 population",Lower is better,,,,,,,,,
Nashville,"Davidson County, TN",Drug Overdose Deaths,Health behaviors,2010,,,"deaths per 100,000 population",Lower is better,,,,,,,,,
Austin,"Travis County, TX",Access to Exercise Opportunities,Health behaviors,2010,,,%,Higher is better,,,,,,,,,
Raleigh,"Wake County, NC",Access to Exercise Opportunities,Health behaviors,2010,,,%,Higher is better,,,,,,,,,
Durham,"Durham County, NC",Access to Exercise Opportunities,Health behaviors,2010,,,%,Higher is better,,,,,,,,,
Charlotte,"Mecklenburg County, NC",Access to Exercise Opportunities,Health behaviors,2010,,,%,Higher is better,,,,,,,,,
Denver,"Denver County, CO",Access to Exercise Opportunities,Health behaviors,2010,,,%,Higher is better,,,,,,,,,
Atlanta,"Fulton County, GA",Access to Exercise Opportunities,Health behaviors,2010,,,%,Higher is better,,,,,,,,,
Fort Worth,"Tarrant County, TX",Access to Exercise Opportunities,Health behaviors,2010,,,%,Higher is better,,,,,,,,,
Dallas,"Dallas County, TX",Access to Exercise Opportunities,Health behaviors,2010,,,%,Higher is better,,,,,,,,,
Nashville,"Davidson County, TN",Access to Exercise Opportunities,Health behaviors,2010,,,%,Higher is better,,,,,,,,,
Austin,"Travis County, TX",Uninsured,Clinical care,2010,2005,24.8,%,Lower is better,2,20.65,-4.05,-19.61,Better,Charlotte,16.4,Dallas,29.1
Raleigh,"Wake County, NC",Uninsured,Clinical care,2010,2005,17,%,Lower is better,2,20.65,-4.05,-19.61,Better,Charlotte,16.4,Dallas,29.1
Durham,"Durham County, NC",Uninsured,Clinical care,2010,2005,17.3,%,Lower is better,2,20.65,-4.05,-19.61,Better,Charlotte,16.4,Dallas,29.1
Charlotte,"Mecklenburg County, NC",Uninsured,Clinical care,2010,2005,16.4,%,Lower is better,2,20.65,-4.05,-19.61,Better,Charlotte,16.4,Dallas,29.1
Denver,"Denver County, CO",Uninsured,Clinical care,2010,2005,19.4,%,Lower is better,2,20.65,-4.05,-19.61,Better,Charlotte,16.4,Dallas,29.1
Atlanta,"Fulton County, GA",Uninsured,Clinical care,2010,2005,17.1,%,Lower is better,2,20.65,-4.05,-19.61,Better,Charlotte,16.4,Dallas,29.1
Fort Worth,"Tarrant County, TX",Uninsured,Clinical care,2010,2005,24.1,%,Lower is better,2,20.65,-4.05,-19.61,Better,Charlotte,16.4,Dallas,29.1
Dallas,"Dallas County, TX",Uninsured,Clinical care,2010,2005,29.1,%,Lower is better,2,20.65,-4.05,-19.61,Better,Charlotte,16.4,Dallas,29.1
Nashville,"Davidson County, TN",Uninsured,Clinical care,2010,2005,16.6,%,Lower is better,2,20.65,-4.05,-19.61,Better,Charlotte,16.4,Dallas,29.1
Austin,"Travis County, TX",Primary Care Physicians,Clinical care,2010,2006,99.424646438,"primary care providers per 100,000 population",Higher is better,4,130.949112,19.854377,15.16,Better,Durham,251.56561636,Fort Worth,60.972773145
Raleigh,"Wake County, NC",Primary Care Physicians,Clinical care,2010,2006,97.635004272,"primary care providers per 100,000 population",Higher is better,4,130.949112,19.854377,15.16,Better,Durham,251.56561636,Fort Worth,60.972773145
Durham,"Durham County, NC",Primary Care Physicians,Clinical care,2010,2006,251.56561636,"primary care providers per 100,000 population",Higher is better,4,130.949112,19.854377,15.16,Better,Durham,251.56561636,Fort Worth,60.972773145
Charlotte,"Mecklenburg County, NC",Primary Care Physicians,Clinical care,2010,2006,109.68336735,"primary care providers per 100,000 population",Higher is better,4,130.949112,19.854377,15.16,Better,Durham,251.56561636,Fort Worth,60.972773145
Denver,"Denver County, CO",Primary Care Physicians,Clinical care,2010,2006,192.40259173,"primary care providers per 100,000 population",Higher is better,4,130.949112,19.854377,15.16,Better,Durham,251.56561636,Fort Worth,60.972773145
Atlanta,"Fulton County, GA",Primary Care Physicians,Clinical care,2010,2006,151.99487927,"primary care providers per 100,000 population",Higher is better,4,130.949112,19.854377,15.16,Better,Durham,251.56561636,Fort Worth,60.972773145
Fort Worth,"Tarrant County, TX",Primary Care Physicians,Clinical care,2010,2006,60.972773145,"primary care providers per 100,000 population",Higher is better,4,130.949112,19.854377,15.16,Better,Durham,251.56561636,Fort Worth,60.972773145
Dallas,"Dallas County, TX",Primary Care Physicians,Clinical care,2010,2006,83.91401921,"primary care providers per 100,000 population",Higher is better,4,130.949112,19.854377,15.16,Better,Durham,251.56561636,Fort Worth,60.972773145
Nashville,"Davidson County, TN",Primary Care Physicians,Clinical care,2010,2006,150.80348955,"primary care providers per 100,000 population",Higher is better,4,130.949112,19.854377,15.16,Better,Durham,251.56561636,Fort Worth,60.972773145
Austin,"Travis County, TX",Mental Health Providers,Clinical care,2010,,,residents per mental health provider,Lower is better,,,,,,,,,
Raleigh,"Wake County, NC",Mental Health Providers,Clinical care,2010,,,residents per mental health provider,Lower is better,,,,,,,,,
Durham,"Durham County, NC",Mental Health Providers,Clinical care,2010,,,residents per mental health provider,Lower is better,,,,,,,,,
Charlotte,"Mecklenburg County, NC",Mental Health Providers,Clinical care,2010,,,residents per mental health provider,Lower is better,,,,,,,,,
Denver,"Denver County, CO",Mental Health Providers,Clinical care,2010,,,residents per mental health provider,Lower is better,,,,,,,,,
Atlanta,"Fulton County, GA",Mental Health Providers,Clinical care,2010,,,residents per mental health provider,Lower is better,,,,,,,,,
Fort Worth,"Tarrant County, TX",Mental Health Providers,Clinical care,2010,,,residents per mental health provider,Lower is better,,,,,,,,,
Dallas,"Dallas County, TX",Mental Health Providers,Clinical care,2010,,,residents per mental health provider,Lower is better,,,,,,,,,
Nashville,"Davidson County, TN",Mental Health Providers,Clinical care,2010,,,residents per mental health provider,Lower is better,,,,,,,,,
Austin,"Travis County, TX",Preventable Hospital Stays,Clinical care,2010,2005-06,6202.8164543088,"hospital stays per 100,000 Medicare enrollees",Lower is better,9,6262.039309,1341.704998,21.43,Worse,Denver,5576.10686498,Nashville,7603.744306508
Raleigh,"Wake County, NC",Preventable Hospital Stays,Clinical care,2010,2005-06,5735.3698821599,"hospital stays per 100,000 Medicare enrollees",Lower is better,9,6262.039309,1341.704998,21.43,Worse,Denver,5576.10686498,Nashville,7603.744306508
Durham,"Durham County, NC",Preventable Hospital Stays,Clinical care,2010,2005-06,5765.5896779292,"hospital stays per 100,000 Medicare enrollees",Lower is better,9,6262.039309,1341.704998,21.43,Worse,Denver,5576.10686498,Nashville,7603.744306508
Charlotte,"Mecklenburg County, NC",Preventable Hospital Stays,Clinical care,2010,2005-06,6249.8873238124,"hospital stays per 100,000 Medicare enrollees",Lower is better,9,6262.039309,1341.704998,21.43,Worse,Denver,5576.10686498,Nashville,7603.744306508
Denver,"Denver County, CO",Preventable Hospital Stays,Clinical care,2010,2005-06,5576.10686498,"hospital stays per 100,000 Medicare enrollees",Lower is better,9,6262.039309,1341.704998,21.43,Worse,Denver,5576.10686498,Nashville,7603.744306508
Atlanta,"Fulton County, GA",Preventable Hospital Stays,Clinical care,2010,2005-06,6195.9303344732,"hospital stays per 100,000 Medicare enrollees",Lower is better,9,6262.039309,1341.704998,21.43,Worse,Denver,5576.10686498,Nashville,7603.744306508
Fort Worth,"Tarrant County, TX",Preventable Hospital Stays,Clinical care,2010,2005-06,7282.5735716785,"hospital stays per 100,000 Medicare enrollees",Lower is better,9,6262.039309,1341.704998,21.43,Worse,Denver,5576.10686498,Nashville,7603.744306508
Dallas,"Dallas County, TX",Preventable Hospital Stays,Clinical care,2010,2005-06,7088.0403626374,"hospital stays per 100,000 Medicare enrollees",Lower is better,9,6262.039309,1341.704998,21.43,Worse,Denver,5576.10686498,Nashville,7603.744306508
Nashville,"Davidson County, TN",Preventable Hospital Stays,Clinical care,2010,2005-06,7603.744306508,"hospital stays per 100,000 Medicare enrollees",Lower is better,9,6262.039309,1341.704998,21.43,Worse,Denver,5576.10686498,Nashville,7603.744306508
Austin,"Travis County, TX",Children in Poverty,Social & economic,2010,2007,18.3,%,Lower is better,7,18.9375,5.2625,27.79,Worse,Raleigh,11.1,Dallas,25.5
Raleigh,"Wake County, NC",Children in Poverty,Social & economic,2010,2007,11.1,%,Lower is better,7,18.9375,5.2625,27.79,Worse,Raleigh,11.1,Dallas,25.5
Durham,"Durham County, NC",Children in Poverty,Social & economic,2010,2007,19.3,%,Lower is better,7,18.9375,5.2625,27.79,Worse,Raleigh,11.1,Dallas,25.5
Charlotte,"Mecklenburg County, NC",Children in Poverty,Social & economic,2010,2007,13.8,%,Lower is better,7,18.9375,5.2625,27.79,Worse,Raleigh,11.1,Dallas,25.5
Denver,"Denver County, CO",Children in Poverty,Social & economic,2010,2007,25.4,%,Lower is better,7,18.9375,5.2625,27.79,Worse,Raleigh,11.1,Dallas,25.5
Atlanta,"Fulton County, GA",Children in Poverty,Social & economic,2010,2007,20.8,%,Lower is better,7,18.9375,5.2625,27.79,Worse,Raleigh,11.1,Dallas,25.5
Fort Worth,"Tarrant County, TX",Children in Poverty,Social & economic,2010,2007,17.3,%,Lower is better,7,18.9375,5.2625,27.79,Worse,Raleigh,11.1,Dallas,25.5
Dallas,"Dallas County, TX",Children in Poverty,Social & economic,2010,2007,25.5,%,Lower is better,7,18.9375,5.2625,27.79,Worse,Raleigh,11.1,Dallas,25.5
Nashville,"Davidson County, TN",Children in Poverty,Social & economic,2010,2007,24.2,%,Lower is better,7,18.9375,5.2625,27.79,Worse,Raleigh,11.1,Dallas,25.5
Austin,"Travis County, TX",Unemployment,Social & economic,2010,2008,4.2,%,Lower is better,4,5.2625,-0.0625,-1.19,Better,Austin,4.2,Atlanta,6.4
Raleigh,"Wake County, NC",Unemployment,Social & economic,2010,2008,4.7,%,Lower is better,4,5.2625,-0.0625,-1.19,Better,Austin,4.2,Atlanta,6.4
Durham,"Durham County, NC",Unemployment,Social & economic,2010,2008,4.9,%,Lower is better,4,5.2625,-0.0625,-1.19,Better,Austin,4.2,Atlanta,6.4
Charlotte,"Mecklenburg County, NC",Unemployment,Social & economic,2010,2008,6.1,%,Lower is better,4,5.2625,-0.0625,-1.19,Better,Austin,4.2,Atlanta,6.4
Denver,"Denver County, CO",Unemployment,Social & economic,2010,2008,5.5,%,Lower is better,4,5.2625,-0.0625,-1.19,Better,Austin,4.2,Atlanta,6.4
